"CHART","VAR","SEXF","HTCMGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","HTWT",0,"[65,66)",-1.518786093,7.304248994,0.082005843,6.359068402,6.460765369,6.625668165,6.926433317,7.304248994,7.738675499,8.190324128,8.494298133,8.707543698
"CDC","HTWT",0,"[66,67)",-1.49249029,7.557381995,0.081399411,6.583997561,6.688974915,6.859075839,7.168922842,7.557381995,8.002934684,8.46481824,8.774880112,8.991998822
"CDC","HTWT",0,"[67,68)",-1.459487925,7.808610136,0.080850107,6.806616368,6.914957848,7.090372671,7.409447317,7.808610136,8.26518536,8.736998815,9.052831095,9.27354736
"CDC","HTWT",0,"[68,69)",-1.421167427,8.057810266,0.08034908,7.026901165,7.138676485,7.319499566,7.647913807,8.057810266,8.525291839,9.006749431,9.328070124,9.552145587
"CDC","HTWT",0,"[69,70)",-1.378835366,8.304892397,0.079888977,7.244856495,7.360121388,7.54642602,7.884259416,8.304892397,8.783156413,9.273996989,9.600562566,9.827797569
"CDC","HTWT",0,"[70,71)",-1.333634661,8.549802669,0.079463915,7.460510099,7.579307642,7.771148283,8.118452209,8.549802669,9.038722435,9.53871203,9.870316803,10.10054839
"CDC","HTWT",0,"[71,72)",-1.286605147,8.792519752,0.079069193,7.67391364,7.796274848,7.993688292,8.350488663,8.792519752,9.291970609,9.800906186,10.13738322,10.37048464
"CDC","HTWT",0,"[72,73)",-1.238665517,9.033054944,0.07870118,7.885140184,8.011085035,8.214092237,8.580393153,9.033054944,9.542918966,10.06063106,10.40185184,10.63773097
"CDC","HTWT",0,"[73,74)",-1.19066716,9.271448675,0.078357096,8.094284811,8.223822595,8.432429492,8.808215482,9.271448675,9.791619211,10.31797568,10.66385133,10.90245061
"CDC","HTWT",0,"[74,75)",-1.143316882,9.507773605,0.078035021,8.301459453,8.434590571,8.648791006,9.034032141,9.507773605,10.03815952,10.57306631,10.92354547,11.16483888
