"CHART","VAR","SEXF","AGEGRP","L","M","S","P3","P5","P10","P25","P50","P75","P90","P95","P97"
"CDC","BMI",1,"[170,171)",-1.984437954,19.45204465,0.151206347,15.52516693,15.89174721,16.51042098,17.72675499,19.45204465,21.79988774,24.8423432,27.40673363,29.56728511
"CDC","BMI",1,"[171,172)",-1.988483106,19.50135548,0.151168902,15.56660919,15.93384595,16.55365778,17.7723572,19.50135548,21.855078,24.90694389,27.4811763,29.65160263
"CDC","BMI",1,"[172,173)",-1.992764085,19.55036888,0.151123398,15.60805429,15.97591819,16.59681886,17.81778887,19.55036888,21.90982109,24.97096308,27.55499753,29.73533271
"CDC","BMI",1,"[173,174)",-1.997276103,19.59907464,0.15107018,15.64948704,16.01794916,16.63989017,17.86303751,19.59907464,21.96411019,25.03439887,27.62820049,29.81848403
"CDC","BMI",1,"[174,175)",-2.002014224,19.64746266,0.151009595,15.69089206,16.05992392,16.68285759,17.90809056,19.64746266,22.01793871,25.09724977,27.70078892,29.90106591
"CDC","BMI",1,"[175,176)",-2.00697335,19.69552294,0.150942,15.73225378,16.10182739,16.72570683,17.95293549,19.69552294,22.07130033,25.15951476,27.77276709,29.9830883
"CDC","BMI",1,"[176,177)",-2.012148213,19.7432456,0.150867753,15.77355644,16.14364432,16.76842355,17.99755974,19.7432456,22.12418902,25.22119319,27.84413981,30.06456182
"CDC","BMI",1,"[177,178)",-2.017533363,19.79062086,0.150787221,15.8147841,16.1853593,16.81099326,18.04195071,19.79062086,22.17659899,25.28228489,27.91491246,30.14549772
"CDC","BMI",1,"[178,179)",-2.023123159,19.83763907,0.150700774,15.85592062,16.22695676,16.85340136,18.08609581,19.83763907,22.22852472,25.3427901,27.98509093,30.22590789
"CDC","BMI",1,"[179,180)",-2.028911755,19.88429066,0.150608788,15.89694967,16.26842096,16.89563315,18.12998242,19.88429066,22.27996095,25.40270949,28.05468167,30.30580486
"CDC","BMI",1,"[180,181)",-2.034893091,19.9305662,0.150511645,15.93785473,16.30973602,16.93767383,18.17359792,19.9305662,22.33090272,25.46204417,28.12369169,30.3852018
"CDC","BMI",1,"[181,182)",-2.041060881,19.97645636,0.150409731,15.97861909,16.35088587,16.97950845,18.21692964,19.97645636,22.3813453,25.52079568,28.19212851,30.46411251
"CDC","BMI",1,"[182,183)",-2.047408604,20.02195192,0.15030344,16.01922586,16.3918543,17.02112198,18.25996492,20.02195192,22.43128425,25.578966,28.26000023,30.54255145
"CDC","BMI",1,"[183,184)",-2.05392949,20.06704377,0.150193169,16.05965792,16.43262492,17.06249925,18.30269107,20.06704377,22.4807154,25.63655753,28.32731547,30.62053368
"CDC","BMI",1,"[184,185)",-2.060616513,20.11172291,0.150079322,16.09989799,16.47318119,17.10362501,18.34509539,20.11172291,22.52963484,25.69357313,28.3940834,30.69807493
"CDC","BMI",1,"[185,186)",-2.067462375,20.15598047,0.149962308,16.13992859,16.5135064,17.14448385,18.38716515,20.15598047,22.57803895,25.75001608,28.46031375,30.77519152
"CDC","BMI",1,"[186,187)",-2.074459502,20.19980767,0.14984254,16.17973203,16.55358366,17.18506029,18.42888762,20.19980767,22.62592435,25.80589011,28.52601678,30.85190042
"CDC","BMI",1,"[187,188)",-2.081600029,20.24319586,0.149720441,16.21929043,16.59339594,17.22533871,18.47025003,20.24319586,22.67328797,25.86119939,28.59120331,30.92821925
"CDC","BMI",1,"[188,189)",-2.088875793,20.28613648,0.149596434,16.25858573,16.63292602,17.26530336,18.5112396,20.28613648,22.72012699,25.91594853,28.6558847,31.00416621
"CDC","BMI",1,"[189,190)",-2.096278323,20.32862109,0.149470953,16.29759966,16.67215653,17.30493841,18.55184353,20.32862109,22.76643886,25.97014258,28.72007286,31.07976017
"CDC","BMI",1,"[190,191)",-2.103798828,20.37064138,0.149344433,16.33631375,16.71106993,17.34422789,18.592049,20.37064138,22.81222132,26.02378703,28.78378025,31.15502058
"CDC","BMI",1,"[191,192)",-2.111428194,20.41218911,0.149217319,16.37470935,16.74964852,17.38315572,18.63184317,20.41218911,22.85747235,26.07688783,28.84701989,31.22996756
"CDC","BMI",1,"[192,193)",-2.119156972,20.45325617,0.14909006,16.4127676,16.78787442,17.4217057,18.67121316,20.45325617,22.90219024,26.12945136,28.90980533,31.30462183
"CDC","BMI",1,"[193,194)",-2.126975375,20.49383457,0.14896311,16.45046946,16.82572959,17.4598615,18.7101461,20.49383457,22.94637354,26.18148447,28.97215071,31.37900471
"CDC","BMI",1,"[194,195)",-2.134873266,20.5339164,0.148836931,16.48779567,16.86319583,17.49760671,18.74862906,20.5339164,22.99002104,26.23299442,29.03407069,31.45313817
"CDC","BMI",1,"[195,196)",-2.142840157,20.57349387,0.148711989,16.52472682,16.90025476,17.53492476,18.78664912,20.57349387,23.03313184,26.28398896,29.0955805,31.5270448
"CDC","BMI",1,"[196,197)",-2.150865204,20.61255929,0.148588757,16.56124326,16.93688787,17.57179899,18.82419331,20.61255929,23.07570528,26.33447627,29.15669594,31.6007478
"CDC","BMI",1,"[197,198)",-2.158937201,20.65110506,0.148467715,16.59732518,16.97307644,17.60821261,18.86124863,20.65110506,23.11774099,26.38446498,29.21743336,31.67427098
"CDC","BMI",1,"[198,199)",-2.167044578,20.6891237,0.148349348,16.63295257,17.00880162,17.64414872,18.89780209,20.6891237,23.15923885,26.43396418,29.27780966,31.74763877
"CDC","BMI",1,"[199,200)",-2.175176987,20.72660728,0.14823412,16.6681059,17.04404492,17.67959061,18.93384056,20.72660728,23.2001981,26.48298259,29.33784232,31.8208776
"CDC","BMI",1,"[200,201)",-2.183317362,20.76355011,0.148122614,16.70276277,17.07878553,17.71452019,18.96935117,20.76355011,23.24062188,26.53153263,29.39754939,31.89400908
"CDC","BMI",1,"[201,202)",-2.191457792,20.79994337,0.148015249,16.73690461,17.11300574,17.74892115,19.00432062,20.79994337,23.28050814,26.57962232,29.45694948,31.96706354
"CDC","BMI",1,"[202,203)",-2.199583649,20.83578051,0.147912564,16.77050999,17.14668547,17.78277581,19.03873583,20.83578051,23.31985872,26.62726338,29.51606178,32.04006655
"CDC","BMI",1,"[203,204)",-2.207681525,20.87105449,0.147815078,16.80355796,17.17980508,17.81606667,19.07258364,20.87105449,23.35867482,26.67446717,29.57490604,32.11304561
"CDC","BMI",1,"[204,205)",-2.215737645,20.90575839,0.147723315,16.83602739,17.21234472,17.8487761,19.10585083,20.90575839,23.39695789,26.7212455,29.63350259,32.18602887
"CDC","BMI",1,"[205,206)",-2.223739902,20.93988477,0.147637768,16.86789789,17.24428517,17.88088689,19.13852417,20.93988477,23.43470854,26.76760965,29.69187236,32.25904682
"CDC","BMI",1,"[206,207)",-2.231667995,20.97342858,0.147559083,16.89914528,17.27560407,17.91237975,19.1705904,20.97342858,23.4719319,26.81357526,29.75003682,32.33212376
"CDC","BMI",1,"[207,208)",-2.239511942,21.00638171,0.147487716,16.92975012,17.30628297,17.9432379,19.20203617,21.00638171,23.50862756,26.85915312,29.80801808,32.40529387
"CDC","BMI",1,"[208,209)",-2.247257081,21.0387374,0.14742421,16.95969079,17.33630159,17.97344339,19.23284815,21.0387374,23.54479768,26.90435663,29.8658388,32.47858818
