"","ITER","SEXF","AGEGRP","HTWT_COR"
"127",4,0,"[132,144)",0.70883697161169
"128",4,1,"[132,144)",0.617330064545112
"129",4,0,"[144,156)",0.682451719763939
"130",4,1,"[144,156)",0.512847391261405
"131",4,0,"[156,168)",0.614776994418781
"132",4,1,"[156,168)",0.50298046045048
"133",4,0,"[168,180)",0.502641755632129
"134",4,1,"[168,180)",0.438305293211422
"135",4,0,"[180,192)",0.447269648207673
"136",4,1,"[180,192)",0.360934591692984
"137",4,0,"[192,204)",0.444608739268231
"138",4,1,"[192,204)",0.321795823401401
"139",4,0,"[204,216)",0.448411700197502
"140",4,1,"[204,216)",0.23829415709693
"141",4,0,"[216,228)",0.417982448037978
"142",4,1,"[216,228)",0.164918143614022
"143",4,0,"[228,240)",0.357057060010875
"144",4,1,"[228,240)",0.128932937272877
"145",5,0,"[25,36)",0.696233824957879
"146",5,1,"[25,36)",0.678886207710512
"147",5,0,"[36,48)",0.783832913218774
"148",5,1,"[36,48)",0.787072446589357
"149",5,0,"[48,60)",0.830076153582993
"150",5,1,"[48,60)",0.810054675584313
"151",5,0,"[60,72)",0.816808436262596
"152",5,1,"[60,72)",0.790394630978297
"153",5,0,"[72,84)",0.771743056346928
"154",5,1,"[72,84)",0.778942722609776
"155",5,0,"[84,96)",0.719432194628053
"156",5,1,"[84,96)",0.66802455820608
"157",5,0,"[96,108)",0.70264527982529
"158",5,1,"[96,108)",0.647175431815595
"159",5,0,"[108,120)",0.657753621419409
"160",5,1,"[108,120)",0.637494293928629
"161",5,0,"[120,132)",0.700792263324922
"162",5,1,"[120,132)",0.673557845787895
"163",5,0,"[132,144)",0.701597349530488
"164",5,1,"[132,144)",0.646614165854978
"165",5,0,"[144,156)",0.665057503747926
"166",5,1,"[144,156)",0.5522391240681
"167",5,0,"[156,168)",0.558488730922635
"168",5,1,"[156,168)",0.481460498584362
"169",5,0,"[168,180)",0.514971705054213
"170",5,1,"[168,180)",0.422687109657604
"171",5,0,"[180,192)",0.388642348030977
"172",5,1,"[180,192)",0.332596243719146
"173",5,0,"[192,204)",0.416212334945158
"174",5,1,"[192,204)",0.302644618983208
"175",5,0,"[204,216)",0.468428651076104
"176",5,1,"[204,216)",0.234977400451598
"177",5,0,"[216,228)",0.427754800898717
"178",5,1,"[216,228)",0.171284629108492
